track_id,artist_name,track_title,track_genre_top
2,AWOL,Food,Hip-Hop
5,AWOL,This World,Hip-Hop
10,Kurt Vile,Freeway,Pop
140,Alec K. Redfearn & the Eyesores,Queen Of The Wires,Folk
141,Alec K. Redfearn & the Eyesores,Ohio,Folk
148,Contradiction,Blackout 2,Experimental
182,Ariel Pink's Haunted Graffiti,Jules Lost His Jewels,Rock
190,Ed Askew,Castle Of Stars,Folk
193,Ed Askew,Here With You,Folk
194,Ed Askew,All I want to Do,Folk
197,Ed Askew,Piano 2,Folk
200,Ed Askew,Baby Come Home,Folk
203,Ed Askew,Song For R,Folk
204,Ed Askew,My Dream,Folk
207,Ed Askew,Piano 3,Folk
210,Ed Askew,In the French Court,Folk
211,Ed Askew,In America,Folk
212,Ed Askew,When I Arive,Folk
213,Au,Boute,Pop
255,Bird Names,We Want to be Old,Rock
256,Black Elk,Toggle,Rock
368,Blah Blah Blah,Vampires,Rock
424,Brian Joseph Davis,The Ambient Honky,Experimental
459,CAVE,Machines and Muscles,Rock
534,Charles Manson,I Can See You,Folk
540,Charles Manson,The Black Pirate,Folk
546,Charles Manson,If You Have No One,Folk
574,Clockcleaner,Caliente Queen,Rock
602,Dora Bleu,Disappearing,Folk
615,EKG,"Immaterial, side A",Experimental
620,Ed Askew,Arabesque,Folk
621,Ed Askew,Blue Eyed Baby,Folk
625,Ed Askew,Climbing To The Top,Folk
666,Explode Into Colors,Heat,International
667,Explode Into Colors,Sharpen The Knife,International
676,Fanatic,The Tension,Hip-Hop
690,Flying Luttenbachers,Cataclysm,Rock
694,Food For Animals,Planet Say (featuring Faust),Hip-Hop
695,Food For Animals,Elephants,Hip-Hop
704,Fósforo,Mano De Dios,International
705,Fósforo,Tio Cocodrilo,International
706,Fósforo,Esto Es Califas,International
707,Fósforo,Cochabamba,International
708,Fósforo,Desconocido,International
709,Fósforo,Cumbia De Obama,International
714,Fursaxa,Circle Moon,Folk
715,Fursaxa,Kokopelli,Folk
716,Fursaxa,Saxalainen,Folk
718,Fursaxa,Song Of The Spindle Berry,Folk
777,Glove Compartment,Relaxing,Rock
814,Hall Of Fame,Motion Passings,Folk
821,Hecuba,Sir,Pop
822,Hecuba,Tom & Jerry,Pop
825,Here Comes A Big Black Cloud!!,Death March,Rock
853,Hutzl Ukranian Ensemble,Welsinsni Melodyi,International
890,Ilyas Ahmed,Softly Tomorrow,Folk
892,Ilyas Ahmed,Phantom Sky,Folk
897,Infinite Body,02,Experimental
993,Jad Fair and Jason Willett,Or So I've Been Told,Rock
995,Kevin Shields,No Good Deed Goes Unpunished,Experimental
997,Kevin Shields,Nothing's Ever Ending,Experimental
998,Kevin Shields,Apparently,Experimental
1039,Lightning Bolt,13 Monsters,Rock
1040,Lightning Bolt,Dracula Mountain,Rock
1066,Lucky Dragons,Helicopter de Cristal,Experimental
1069,Lucky Dragons,Un Lagrima en la Discoteca,Experimental
1073,Lucky Dragons,Onda Tocadisco,Experimental
1075,Lucky Dragons,Painful Corazon,Experimental
1082,M. Nguyen Van Minh-Con,Nam Nhi-tu,International
1083,Magic Lantern,Feasting on Energy,Experimental
1087,Mahjongg,Tell The Police The Truth,Rock
1102,Mary Halvorson and Weasel Walter,Rare Vodka from the Fourteenth Century,Rock
1193,Mount Eerie,Wooly Mammoth's Absence,Folk
1195,Mount Eerie,With My Hands Out,Folk
1196,Mount Eerie,2 Blonde Braids,Folk
1197,Mount Eerie,My Burning,Folk
1249,Nautical Almanac,"""Cleanse Bath"" 10"" Metal Laquer",Experimental
1259,Nautical Almanac,Rolling In The Green,Experimental
1270,Necropolis,Cocksuckerbastardmotherfucker,Rock
1276,Negativland,Richard Nixon Died Today,Experimental
1277,Negativland,No Business,Experimental
1278,Negativland,Downloading,Experimental
1417,Pierced Arrows,Guns of Thunder,Rock
1427,Plastic Crimewave Sound,I Feel Evils,Rock
1443,Pocahaunted,Time Fist,Experimental
1482,Rainbro,Reindeer Dance,Electronic
1510,Ric Royer &amp; G. Lucas Crane,Zombie,Experimental
1544,Samara Lubelski,Song of The Stations,Folk
1642,So Cow,Hrz,Pop
1644,So Cow,Outskirts,Pop
1649,So Cow,Inis Meain,Pop
1661,So Cow,Only Fools and Horses Theme,Pop
1663,Softboiled Eggies,So High,Pop
1666,Softboiled Eggies,She Fell Through the Trees,Pop
1673,Solemn Man,Track 07,Experimental
1680,The Sounds of Taraab,Bashraf Salama,International
1681,The Sounds of Taraab,Daka Kozi Manowe,International
1682,The Sounds of Taraab,Nie Zama Nie Sema,International
1683,The Sounds of Taraab,Mapenzi Matamu,International
1684,The Sounds of Taraab,Mahaba Wa Taka Nini,International
1685,The Sounds of Taraab,Eni Wana Damu,International
1686,The Sounds of Taraab,Rufiji,International
1687,The Sounds of Taraab,"Lala, Mpenzi Lala",International
1688,The Sounds of Taraab,Sishituki,International
1689,The Sounds of Taraab,Unalo,International
1701,Spires That in the Sunset Rise,Clouds,Folk
1702,Spires That in the Sunset Rise,Java Pop,Folk
1703,Spires That in the Sunset Rise,Equus Haar,Folk
1704,Spires That in the Sunset Rise,Morning Song,Folk
1706,Strapping Fieldhands,In the Pineys,Rock
1720,Sun Araw,Harken Sunshine,Rock
1732,Teeth Mountain,Black Jerusalem,Experimental
1733,Teeth Mountain,Keinsein,Experimental
1735,Teeth Mountain,Ghost Science,Experimental
1736,Teeth Mountain,Soft Beast,Experimental
1883,The Yolks,I Do What I Do,Rock
1891,Thee Oh Sees,Kids In Cars,Rock
1893,Tommy Jay,Memories,Folk
1924,The Twin Atlas,Calling For You,Folk
1925,The Twin Atlas,Happy At The Wheel,Folk
1929,U.S. Girls,Buzz Chant,Experimental
1930,Upsilon Acrux,So Thereby...and furthermore...thus henceforth...Mono,Rock
2012,White Mice,The White Mice,Experimental
2096,Grouper,title unknown,Experimental
2097,Hall Of Fame,My Sweet Miasma,Folk
2099,luc,....like bacon sundays,Pop
3263,Ai Aso,A Date,Folk
3264,Ai Aso,Tee Te Te,Folk
3265,Ai Aso,Lavender,Folk
3266,Ai Aso,Land,Folk
3270,Arborea,Song for Obol,Folk
3271,Arborea,Beirut,Folk
3272,Arborea,Seadrift,Folk
3273,Arborea,Redbird,Folk
3274,Arborea,Forewarned,Folk
3492,Citay,On The Wings,Rock
3532,Cryptacize,Heaven Is Human,Pop
3533,Cryptacize,New Spell,Pop
3534,Cryptacize,Cosmic Sing-a-long,Pop
3535,Cryptacize,No Coins,Pop
3537,Cryptacize,We'll Never Dream Again,Pop
3538,Cryptacize,Say You Will,Pop
3573,Dan Deacon,Piggled,Electronic
3598,Ed Askew,Little Eyes,Folk
3624,Fallen Leaves,Days of Summer,Rock
3707,Gary Higgins,Stable the Spuds,Folk
3708,Gary Higgins,Thicker Than A Smokey,Folk
3720,Indian Jewelry,Walking on the Water,Rock
3721,Indian Jewelry,Pow Wow,Rock
3722,Indian Jewelry,Swans,Rock
3724,Indian Jewelry,Temporary Famine Ship,Rock
3725,Indian Jewelry,West Alabama,Rock
3761,Kinski,Improv,Rock
3762,Kinski,Snowy Parts of Scandinavia,Rock
3763,Kinski,Shelley Winters Overdrive,Rock
3765,Kinski,Waves of Second Guessing,Rock
3766,Kinski,Rhode Island Freakout,Rock
3775,La Troba Kung-Fu,Cumbia Infierno,International
3776,La Troba Kung-Fu,La Canco de Lladre,International
3777,La Troba Kung-Fu,Volant,International
3778,La Troba Kung-Fu,Calor Calor,International
3779,La Troba Kung-Fu,Rock Rumba,International
3832,Lior,Bedoin Song,Folk
3833,Lightning Bolt,Track 01,Rock
3840,Lightning Bolt,Track 08,Rock
3880,Mary Halvorson and Jessica Pavone,Crawling,Folk
3895,MetroFolk,Invitita and de Cingheri from Transylvania,International
3896,MetroFolk,Gypsy Csardas and Men's Dances from Kalotaszeg,International
3904,Michael Chapman,Sometimes,Folk
3905,Michael Chapman,Twisted Road,Folk
3906,Michael Chapman,Sometimes,Folk
3908,Michael Chapman,Caddo Lake,Folk
3909,Michael Chapman,Dewbury Road / That Time of Night,Folk
3910,Michael Chapman,Kodak Ghosts,Folk
3911,Michael Chapman,Dust Devils,Folk
3912,Michael Chapman,Fahey's Flag,Folk
3913,Michael Chapman,Memhpis in Winter,Folk
3920,Michael Holt,Fragrant Rota,Folk
3921,Michael Holt,Hiawatha's Lullaby,Folk
3950,Miss Derringer,Click Click Bang Bang,Rock
4013,Nalle,Ravens,Folk
4017,Nalle,New Roots,Folk
4022,Negative Approach,Can't Tell No One,Rock
4037,Neil Halstead,Oh! Mighty Engine,Folk
4066,Peter Walker,Soleade,Folk
4067,Peter Walker,Por Rosa,Folk
4068,Peter Walker,Alegrias Variation,Folk
4069,Peter Walker,Tune on Karen Dalton's Guitar,Folk
4070,Pistolera,Nuevos Ojos,International
4071,Pistolera,Mentirosas,International
4072,Pistolera,Tatuaje,International
4073,Pistolera,Policia,International
4074,Pistolera,Vieja,International
4075,Pistolera,Un Momento,International
4076,Pistolera,No te Olvidare,International
4077,Pistolera,Algo Pa que te Olvides,International
4078,Pistolera,No Suspires,International
4079,Pistolera,Extranjero,International
4080,Pistolera,Cazador,International
4091,Polka Madre,1864,International
4092,Polka Madre,Nina Olga Vodka,International
4093,Polka Madre,Amsterdam,International
4094,Polka Madre,Vida Propia,International
4095,Polka Madre,Funeral Brahms,International
4096,Polka Madre,La Fin Du Monde,International
4097,Polka Madre,Clammy Hands,International
4098,Polka Madre,Russo Trap,International
4099,Polka Madre,Stalin's Head,International
4100,Polka Madre,Gitanas Mojadas,International
4101,Polka Madre,Karjalainen Tanssi,International
4102,Polka Madre,Herasinkuoleena,International
4103,Polka Madre,Circo Del Siglo,International
4108,Psychedelic Horseshit,New Wave Hippies,Rock
4232,The Sounds of Taraab,Bowmazan Ya Mahaba  Bi Kidude song ,International
4233,The Sounds of Taraab,Interview,International
4234,The Sounds of Taraab,Mapenzi Matamu,International
4235,The Sounds of Taraab,Kanilemaza  Ikhwani Safaa,International
4236,The Sounds of Taraab,Enyi Wana Damu  Sharmila and Black Star Orchestra,International
4239,The Sounds of Taraab,Shishituki,International
4450,Twi the Humble Feather,Adventures of Castle One,Folk
4507,Yan Yalego,Mon Amant de St. Jean,International
4508,Yan Yalego,Five Foot Two,International
4509,Yan Yalego,Haricots,International
4510,Yan Yalego,no title,International
4511,Yan Yalego,Petit 'n Mwen,International
4519,High Places,Golden,Electronic
4520,High Places,From Stardust to Sentience,Electronic
4521,High Places,Namer,Electronic
4522,High Places,Oceanus,Electronic
4682,Dälek,Asylum (Permanent Underclass),Hip-Hop
4684,Dälek,Eyes to Form Shadows,Hip-Hop
4685,Dälek,Ever Somber,Hip-Hop
4688,Dälek,Culture for Dollars,Hip-Hop
4777,Half Japanese,Firecracker,Rock
4778,Half Japanese,Too Much Fun,Rock
4779,Half Japanese,Secret Admirer,Rock
4780,Half Japanese,Too Much Adrenaline,Rock
4781,Half Japanese,No Big Deal,Rock
4782,Half Japanese,Thing With a Hook,Rock
4784,Half Japanese,Rosemary's Baby,Rock
4785,Half Japanese,I Know How It Feels...Bad,Rock
4786,Half Japanese,"1,000,000 Kisses",Rock
4787,Half Japanese,Nicole Told Me,Rock
4788,Half Japanese,Fire To Burn,Rock
4799,Harvey Milk,I've Got a Love,Rock
4835,Peelander-Z,Steak,Rock
4836,Peelander-Z,Panda Punk Tongue,Rock
4838,Peelander-Z,Punk Rock,Rock
4846,Mamak Khadem,Bistoon,International
4848,Mamak Khadem,(introduction),International
4849,Mamak Khadem,Avareh,International
5006,New Bomb Turks,"So Long, Silver Lining",Rock
5156,Peter Biedermann,Circles,Folk
5157,Peter Biedermann,Copenhagen,Folk
5158,Peter Biedermann,Running,Folk
5159,Peter Biedermann,Christiania,Folk
5169,Peter Biedermann,The Uncommon Man,Folk
5170,Peter Biedermann,Labyrinth,Folk
5171,Peter Biedermann,Cover Up,Folk
5191,caUSE co-MOTION,Say What You Feel,Pop
5264,Dälek,Classical Homicide,Hip-Hop
5268,Dälek,3 Rocks Blessed,Hip-Hop
5376,Mary Halvorson and Jessica Pavone,The Clouds,Folk
5381,Mary Halvorson and Jessica Pavone,Hartford,Folk
5521,The Apartment,alone now,Experimental
5879,Bob Wiseman,Rock and Tree,Folk
5936,Susanna,Traveling,Folk
5940,Howard Fishman,When It Rains,Folk
6329,Sheqer,Krivo Kopanitsa Horo,International
6330,The Sounds of Taraab,Nie Zama Nie Sema,International
6331,Kavala Brass Band,track 1,International
6332,Raya Brass Band,Taso's Hasapiko,International
6333,Scott Wilson & Efendi,track 01,International
6342,Zikrayat,Doulab Nahawand Murassaa,International
6354,The Sounds of Taraab,Daka Koz,International
6357,Raya Brass Band,Zaharoula,International
6358,Kavala Brass Band,track 2,International
