	Track ID	Artist name	Track title	Genre
0	2	AWOL	Food	Hip-Hop
1	5	AWOL	This World	Hip-Hop
2	10	Kurt Vile	Freeway	Pop
3	140	Alec K. Redfearn & the Eyesores	Queen Of The Wires	Folk
4	141	Alec K. Redfearn & the Eyesores	Ohio	Folk
5	148	Contradiction	Blackout 2	Experimental
6	182	Ariel Pink's Haunted Graffiti	Jules Lost His Jewels	Rock
7	190	Ed Askew	Castle Of Stars	Folk
8	193	Ed Askew	Here With You	Folk
9	194	Ed Askew	All I want to Do	Folk
10	197	Ed Askew	Piano 2	Folk
11	200	Ed Askew	Baby Come Home	Folk
12	203	Ed Askew	Song For R	Folk
13	204	Ed Askew	My Dream	Folk
14	207	Ed Askew	Piano 3	Folk
15	210	Ed Askew	In the French Court	Folk
16	211	Ed Askew	In America	Folk
17	212	Ed Askew	When I Arive	Folk
18	213	Au	Boute	Pop
19	255	Bird Names	We Want to be Old	Rock
20	256	Black Elk	Toggle	Rock
21	368	Blah Blah Blah	Vampires	Rock
22	424	Brian Joseph Davis	The Ambient Honky	Experimental
23	459	CAVE	Machines and Muscles	Rock
24	534	Charles Manson	I Can See You	Folk
25	540	Charles Manson	The Black Pirate	Folk
26	546	Charles Manson	If You Have No One	Folk
27	574	Clockcleaner	Caliente Queen	Rock
28	602	Dora Bleu	Disappearing	Folk
29	615	EKG	Immaterial, side A	Experimental
30	620	Ed Askew	Arabesque	Folk
31	621	Ed Askew	Blue Eyed Baby	Folk
32	625	Ed Askew	Climbing To The Top	Folk
33	666	Explode Into Colors	Heat	International
34	667	Explode Into Colors	Sharpen The Knife	International
35	676	Fanatic	The Tension	Hip-Hop
36	690	Flying Luttenbachers	Cataclysm	Rock
37	694	Food For Animals	Planet Say (featuring Faust)	Hip-Hop
38	695	Food For Animals	Elephants	Hip-Hop
39	704	Fósforo	Mano De Dios	International
40	705	Fósforo	Tio Cocodrilo	International
41	706	Fósforo	Esto Es Califas	International
42	707	Fósforo	Cochabamba	International
43	708	Fósforo	Desconocido	International
44	709	Fósforo	Cumbia De Obama	International
45	714	Fursaxa	Circle Moon	Folk
46	715	Fursaxa	Kokopelli	Folk
47	716	Fursaxa	Saxalainen	Folk
48	718	Fursaxa	Song Of The Spindle Berry	Folk
49	777	Glove Compartment	Relaxing	Rock
50	814	Hall Of Fame	Motion Passings	Folk
51	821	Hecuba	Sir	Pop
52	822	Hecuba	Tom & Jerry	Pop
53	825	Here Comes A Big Black Cloud!!	Death March	Rock
54	853	Hutzl Ukranian Ensemble	Welsinsni Melodyi	International
55	890	Ilyas Ahmed	Softly Tomorrow	Folk
56	892	Ilyas Ahmed	Phantom Sky	Folk
57	897	Infinite Body	02	Experimental
58	993	Jad Fair and Jason Willett	Or So I've Been Told	Rock
59	995	Kevin Shields	No Good Deed Goes Unpunished	Experimental
60	997	Kevin Shields	Nothing's Ever Ending	Experimental
61	998	Kevin Shields	Apparently	Experimental
62	1039	Lightning Bolt	13 Monsters	Rock
63	1040	Lightning Bolt	Dracula Mountain	Rock
64	1066	Lucky Dragons	Helicopter de Cristal	Experimental
65	1069	Lucky Dragons	Un Lagrima en la Discoteca	Experimental
66	1073	Lucky Dragons	Onda Tocadisco	Experimental
67	1075	Lucky Dragons	Painful Corazon	Experimental
68	1082	M. Nguyen Van Minh-Con	Nam Nhi-tu	International
69	1083	Magic Lantern	Feasting on Energy	Experimental
70	1087	Mahjongg	Tell The Police The Truth	Rock
71	1102	Mary Halvorson and Weasel Walter	Rare Vodka from the Fourteenth Century	Rock
72	1193	Mount Eerie	Wooly Mammoth's Absence	Folk
73	1195	Mount Eerie	With My Hands Out	Folk
74	1196	Mount Eerie	2 Blonde Braids	Folk
75	1197	Mount Eerie	My Burning	Folk
76	1249	Nautical Almanac	"""Cleanse Bath"" 10"" Metal Laquer"	Experimental
77	1259	Nautical Almanac	Rolling In The Green	Experimental
78	1270	Necropolis	Cocksuckerbastardmotherfucker	Rock
79	1276	Negativland	Richard Nixon Died Today	Experimental
80	1277	Negativland	No Business	Experimental
81	1278	Negativland	Downloading	Experimental
82	1417	Pierced Arrows	Guns of Thunder	Rock
83	1427	Plastic Crimewave Sound	I Feel Evils	Rock
84	1443	Pocahaunted	Time Fist	Experimental
85	1482	Rainbro	Reindeer Dance	Electronic
86	1510	Ric Royer &amp; G. Lucas Crane	Zombie	Experimental
87	1544	Samara Lubelski	Song of The Stations	Folk
88	1642	So Cow	Hrz	Pop
89	1644	So Cow	Outskirts	Pop
90	1649	So Cow	Inis Meain	Pop
91	1661	So Cow	Only Fools and Horses Theme	Pop
92	1663	Softboiled Eggies	So High	Pop
93	1666	Softboiled Eggies	She Fell Through the Trees	Pop
94	1673	Solemn Man	Track 07	Experimental
95	1680	The Sounds of Taraab	Bashraf Salama	International
96	1681	The Sounds of Taraab	Daka Kozi Manowe	International
97	1682	The Sounds of Taraab	Nie Zama Nie Sema	International
98	1683	The Sounds of Taraab	Mapenzi Matamu	International
99	1684	The Sounds of Taraab	Mahaba Wa Taka Nini	International
100	1685	The Sounds of Taraab	Eni Wana Damu	International
101	1686	The Sounds of Taraab	Rufiji	International
102	1687	The Sounds of Taraab	Lala, Mpenzi Lala	International
103	1688	The Sounds of Taraab	Sishituki	International
104	1689	The Sounds of Taraab	Unalo	International
105	1701	Spires That in the Sunset Rise	Clouds	Folk
106	1702	Spires That in the Sunset Rise	Java Pop	Folk
107	1703	Spires That in the Sunset Rise	Equus Haar	Folk
108	1704	Spires That in the Sunset Rise	Morning Song	Folk
109	1706	Strapping Fieldhands	In the Pineys	Rock
110	1720	Sun Araw	Harken Sunshine	Rock
111	1732	Teeth Mountain	Black Jerusalem	Experimental
112	1733	Teeth Mountain	Keinsein	Experimental
113	1735	Teeth Mountain	Ghost Science	Experimental
114	1736	Teeth Mountain	Soft Beast	Experimental
115	1883	The Yolks	I Do What I Do	Rock
116	1891	Thee Oh Sees	Kids In Cars	Rock
117	1893	Tommy Jay	Memories	Folk
118	1924	The Twin Atlas	Calling For You	Folk
119	1925	The Twin Atlas	Happy At The Wheel	Folk
120	1929	U.S. Girls	Buzz Chant	Experimental
121	1930	Upsilon Acrux	So Thereby...and furthermore...thus henceforth...Mono	Rock
122	2012	White Mice	The White Mice	Experimental
123	2096	Grouper	title unknown	Experimental
124	2097	Hall Of Fame	My Sweet Miasma	Folk
125	2099	luc	....like bacon sundays	Pop
126	3263	Ai Aso	A Date	Folk
127	3264	Ai Aso	Tee Te Te	Folk
128	3265	Ai Aso	Lavender	Folk
129	3266	Ai Aso	Land	Folk
130	3270	Arborea	Song for Obol	Folk
131	3271	Arborea	Beirut	Folk
132	3272	Arborea	Seadrift	Folk
133	3273	Arborea	Redbird	Folk
134	3274	Arborea	Forewarned	Folk
135	3492	Citay	On The Wings	Rock
136	3532	Cryptacize	Heaven Is Human	Pop
137	3533	Cryptacize	New Spell	Pop
138	3534	Cryptacize	Cosmic Sing-a-long	Pop
139	3535	Cryptacize	No Coins	Pop
140	3537	Cryptacize	We'll Never Dream Again	Pop
141	3538	Cryptacize	Say You Will	Pop
142	3573	Dan Deacon	Piggled	Electronic
143	3598	Ed Askew	Little Eyes	Folk
144	3624	Fallen Leaves	Days of Summer	Rock
145	3707	Gary Higgins	Stable the Spuds	Folk
146	3708	Gary Higgins	Thicker Than A Smokey	Folk
147	3720	Indian Jewelry	Walking on the Water	Rock
148	3721	Indian Jewelry	Pow Wow	Rock
149	3722	Indian Jewelry	Swans	Rock
150	3724	Indian Jewelry	Temporary Famine Ship	Rock
151	3725	Indian Jewelry	West Alabama	Rock
152	3761	Kinski	Improv	Rock
153	3762	Kinski	Snowy Parts of Scandinavia	Rock
154	3763	Kinski	Shelley Winters Overdrive	Rock
155	3765	Kinski	Waves of Second Guessing	Rock
156	3766	Kinski	Rhode Island Freakout	Rock
157	3775	La Troba Kung-Fu	Cumbia Infierno	International
158	3776	La Troba Kung-Fu	La Canco de Lladre	International
159	3777	La Troba Kung-Fu	Volant	International
160	3778	La Troba Kung-Fu	Calor Calor	International
161	3779	La Troba Kung-Fu	Rock Rumba	International
162	3832	Lior	Bedoin Song	Folk
163	3833	Lightning Bolt	Track 01	Rock
164	3840	Lightning Bolt	Track 08	Rock
165	3880	Mary Halvorson and Jessica Pavone	Crawling	Folk
166	3895	MetroFolk	Invitita and de Cingheri from Transylvania	International
167	3896	MetroFolk	Gypsy Csardas and Men's Dances from Kalotaszeg	International
168	3904	Michael Chapman	Sometimes	Folk
169	3905	Michael Chapman	Twisted Road	Folk
170	3906	Michael Chapman	Sometimes	Folk
171	3908	Michael Chapman	Caddo Lake	Folk
172	3909	Michael Chapman	Dewbury Road / That Time of Night	Folk
173	3910	Michael Chapman	Kodak Ghosts	Folk
174	3911	Michael Chapman	Dust Devils	Folk
175	3912	Michael Chapman	Fahey's Flag	Folk
176	3913	Michael Chapman	Memhpis in Winter	Folk
177	3920	Michael Holt	Fragrant Rota	Folk
178	3921	Michael Holt	Hiawatha's Lullaby	Folk
179	3950	Miss Derringer	Click Click Bang Bang	Rock
180	4013	Nalle	Ravens	Folk
181	4017	Nalle	New Roots	Folk
182	4022	Negative Approach	Can't Tell No One	Rock
183	4037	Neil Halstead	Oh! Mighty Engine	Folk
184	4066	Peter Walker	Soleade	Folk
185	4067	Peter Walker	Por Rosa	Folk
186	4068	Peter Walker	Alegrias Variation	Folk
187	4069	Peter Walker	Tune on Karen Dalton's Guitar	Folk
188	4070	Pistolera	Nuevos Ojos	International
189	4071	Pistolera	Mentirosas	International
190	4072	Pistolera	Tatuaje	International
191	4073	Pistolera	Policia	International
192	4074	Pistolera	Vieja	International
193	4075	Pistolera	Un Momento	International
194	4076	Pistolera	No te Olvidare	International
195	4077	Pistolera	Algo Pa que te Olvides	International
196	4078	Pistolera	No Suspires	International
197	4079	Pistolera	Extranjero	International
198	4080	Pistolera	Cazador	International
199	4091	Polka Madre	1864	International
200	4092	Polka Madre	Nina Olga Vodka	International
201	4093	Polka Madre	Amsterdam	International
202	4094	Polka Madre	Vida Propia	International
203	4095	Polka Madre	Funeral Brahms	International
204	4096	Polka Madre	La Fin Du Monde	International
205	4097	Polka Madre	Clammy Hands	International
206	4098	Polka Madre	Russo Trap	International
207	4099	Polka Madre	Stalin's Head	International
208	4100	Polka Madre	Gitanas Mojadas	International
209	4101	Polka Madre	Karjalainen Tanssi	International
210	4102	Polka Madre	Herasinkuoleena	International
211	4103	Polka Madre	Circo Del Siglo	International
212	4108	Psychedelic Horseshit	New Wave Hippies	Rock
213	4232	The Sounds of Taraab	Bowmazan Ya Mahaba  Bi Kidude song 	International
214	4233	The Sounds of Taraab	Interview	International
215	4234	The Sounds of Taraab	Mapenzi Matamu	International
216	4235	The Sounds of Taraab	Kanilemaza  Ikhwani Safaa	International
217	4236	The Sounds of Taraab	Enyi Wana Damu  Sharmila and Black Star Orchestra	International
218	4239	The Sounds of Taraab	Shishituki	International
219	4450	Twi the Humble Feather	Adventures of Castle One	Folk
220	4507	Yan Yalego	Mon Amant de St. Jean	International
221	4508	Yan Yalego	Five Foot Two	International
222	4509	Yan Yalego	Haricots	International
223	4510	Yan Yalego	no title	International
224	4511	Yan Yalego	Petit 'n Mwen	International
225	4519	High Places	Golden	Electronic
226	4520	High Places	From Stardust to Sentience	Electronic
227	4521	High Places	Namer	Electronic
228	4522	High Places	Oceanus	Electronic
229	4682	Dälek	Asylum (Permanent Underclass)	Hip-Hop
230	4684	Dälek	Eyes to Form Shadows	Hip-Hop
231	4685	Dälek	Ever Somber	Hip-Hop
232	4688	Dälek	Culture for Dollars	Hip-Hop
233	4777	Half Japanese	Firecracker	Rock
234	4778	Half Japanese	Too Much Fun	Rock
235	4779	Half Japanese	Secret Admirer	Rock
236	4780	Half Japanese	Too Much Adrenaline	Rock
237	4781	Half Japanese	No Big Deal	Rock
238	4782	Half Japanese	Thing With a Hook	Rock
239	4784	Half Japanese	Rosemary's Baby	Rock
240	4785	Half Japanese	I Know How It Feels...Bad	Rock
241	4786	Half Japanese	1,000,000 Kisses	Rock
242	4787	Half Japanese	Nicole Told Me	Rock
243	4788	Half Japanese	Fire To Burn	Rock
244	4799	Harvey Milk	I've Got a Love	Rock
245	4835	Peelander-Z	Steak	Rock
246	4836	Peelander-Z	Panda Punk Tongue	Rock
247	4838	Peelander-Z	Punk Rock	Rock
248	4846	Mamak Khadem	Bistoon	International
249	4848	Mamak Khadem	(introduction)	International
250	4849	Mamak Khadem	Avareh	International
251	5006	New Bomb Turks	So Long, Silver Lining	Rock
252	5156	Peter Biedermann	Circles	Folk
253	5157	Peter Biedermann	Copenhagen	Folk
254	5158	Peter Biedermann	Running	Folk
255	5159	Peter Biedermann	Christiania	Folk
256	5169	Peter Biedermann	The Uncommon Man	Folk
257	5170	Peter Biedermann	Labyrinth	Folk
258	5171	Peter Biedermann	Cover Up	Folk
259	5191	caUSE co-MOTION	Say What You Feel	Pop
260	5264	Dälek	Classical Homicide	Hip-Hop
