0	2	AWOL	Food	Hip-Hop	000/000002.mp3
1	5	AWOL	This World	Hip-Hop	000/000005.mp3
2	10	Kurt Vile	Freeway	Pop	000/000010.mp3
3	140	Alec K. Redfearn & the Eyesores	Queen Of The Wires	Folk	000/000140.mp3
4	141	Alec K. Redfearn & the Eyesores	Ohio	Folk	000/000141.mp3
6	182	Ariel Pink's Haunted Graffiti	Jules Lost His Jewels	Rock	000/000182.mp3
7	190	Ed Askew	Castle Of Stars	Folk	000/000190.mp3
8	193	Ed Askew	Here With You	Folk	000/000193.mp3
9	194	Ed Askew	All I want to Do	Folk	000/000194.mp3
10	197	Ed Askew	Piano 2	Folk	000/000197.mp3
11	200	Ed Askew	Baby Come Home	Folk	000/000200.mp3
12	203	Ed Askew	Song For R	Folk	000/000203.mp3
13	204	Ed Askew	My Dream	Folk	000/000204.mp3
14	207	Ed Askew	Piano 3	Folk	000/000207.mp3
15	210	Ed Askew	In the French Court	Folk	000/000210.mp3
16	211	Ed Askew	In America	Folk	000/000211.mp3
17	212	Ed Askew	When I Arive	Folk	000/000212.mp3
18	213	Au	Boute	Pop	000/000213.mp3
19	255	Bird Names	We Want to be Old	Rock	000/000255.mp3
20	256	Black Elk	Toggle	Rock	000/000256.mp3
21	368	Blah Blah Blah	Vampires	Rock	000/000368.mp3
23	459	CAVE	Machines and Muscles	Rock	000/000459.mp3
24	534	Charles Manson	I Can See You	Folk	000/000534.mp3
25	540	Charles Manson	The Black Pirate	Folk	000/000540.mp3
26	546	Charles Manson	If You Have No One	Folk	000/000546.mp3
27	574	Clockcleaner	Caliente Queen	Rock	000/000574.mp3
28	602	Dora Bleu	Disappearing	Folk	000/000602.mp3
30	620	Ed Askew	Arabesque	Folk	000/000620.mp3
31	621	Ed Askew	Blue Eyed Baby	Folk	000/000621.mp3
32	625	Ed Askew	Climbing To The Top	Folk	000/000625.mp3
33	666	Explode Into Colors	Heat	International	000/000666.mp3
34	667	Explode Into Colors	Sharpen The Knife	International	000/000667.mp3
35	676	Fanatic	The Tension	Hip-Hop	000/000676.mp3
36	690	Flying Luttenbachers	Cataclysm	Rock	000/000690.mp3
37	694	Food For Animals	Planet Say (featuring Faust)	Hip-Hop	000/000694.mp3
38	695	Food For Animals	Elephants	Hip-Hop	000/000695.mp3
39	704	Fósforo	Mano De Dios	International	000/000704.mp3
40	705	Fósforo	Tio Cocodrilo	International	000/000705.mp3
41	706	Fósforo	Esto Es Califas	International	000/000706.mp3
42	707	Fósforo	Cochabamba	International	000/000707.mp3
43	708	Fósforo	Desconocido	International	000/000708.mp3
44	709	Fósforo	Cumbia De Obama	International	000/000709.mp3
45	714	Fursaxa	Circle Moon	Folk	000/000714.mp3
46	715	Fursaxa	Kokopelli	Folk	000/000715.mp3
47	716	Fursaxa	Saxalainen	Folk	000/000716.mp3
48	718	Fursaxa	Song Of The Spindle Berry	Folk	000/000718.mp3
49	777	Glove Compartment	Relaxing	Rock	000/000777.mp3
50	814	Hall Of Fame	Motion Passings	Folk	000/000814.mp3
51	821	Hecuba	Sir	Pop	000/000821.mp3
52	822	Hecuba	Tom & Jerry	Pop	000/000822.mp3
53	825	Here Comes A Big Black Cloud!!	Death March	Rock	000/000825.mp3
